purchase_month,revenue,orders,aov,avg_review,on_time_rate,avg_delivery_days
2017-01,127545.67,750,170.06,4.2,0.97,12.09
2017-02,271298.65,1653,164.13,4.2,0.97,12.61
2017-03,414369.39,2546,162.75,4.19,0.95,12.4
2017-04,390952.18,2303,169.76,4.14,0.93,14.35
2017-05,567066.73,3546,159.92,4.24,0.97,10.76
2017-06,490225.6,3135,156.37,4.22,0.97,11.51
2017-07,566403.93,3872,146.28,4.26,0.97,11.13
2017-08,646000.61,4193,154.07,4.31,0.97,10.7
2017-09,701169.99,4150,168.96,4.27,0.96,11.4
2017-10,751140.27,4478,167.74,4.2,0.96,11.42
2017-11,1153528.05,7289,158.26,3.99,0.88,14.7
2017-12,843199.17,5513,152.95,4.09,0.93,14.94
2018-01,1078606.86,7069,152.58,4.11,0.94,13.64
2018-02,966510.88,6555,147.45,3.88,0.86,16.51
2018-03,1120678.0,7003,160.03,3.81,0.81,15.87
2018-04,1132933.95,6798,166.66,4.21,0.95,11.05
2018-05,1128836.69,6749,167.26,4.24,0.93,10.96
2018-06,1012090.68,6099,165.94,4.31,0.99,8.77
2018-07,1027903.86,6159,166.89,4.32,0.97,8.5
2018-08,985414.28,6351,155.16,4.31,0.94,7.29
