customer_state,total_revenue,order_count,avg_order_value,avg_review_score,on_time_rate,avg_delivery_days,avg_delivery_delay
AC,19586.25,80,244.83,4.09,0.96,20.64,-20.72
AL,94195.79,397,237.27,3.85,0.79,24.04,-8.71
AM,27596.18,145,190.32,4.24,0.97,25.99,-19.57
AP,16141.81,67,240.92,4.24,0.97,26.73,-19.69
BA,591270.6,3256,181.59,3.93,0.88,18.87,-10.79
CE,266463.97,1279,208.34,3.94,0.86,20.82,-10.8
DF,346146.17,2080,166.42,4.13,0.94,12.51,-12.05
ES,317682.65,1995,159.24,4.08,0.89,15.33,-10.5
GO,334294.22,1957,170.82,4.11,0.93,15.15,-12.19
MA,147807.29,717,206.15,3.83,0.83,21.12,-9.57
MG,1819277.61,11354,160.23,4.19,0.95,11.54,-13.24
MS,134421.54,701,191.76,4.16,0.9,15.19,-11.05
MT,181441.72,886,204.79,4.15,0.94,17.59,-14.36
PA,212027.55,946,224.13,3.91,0.89,23.32,-14.07
PB,137834.65,517,266.6,4.08,0.9,19.95,-13.26
PE,309074.59,1593,194.02,4.08,0.9,17.97,-13.29
PI,105272.17,476,221.16,3.99,0.86,18.99,-11.31
PR,781919.55,4923,158.83,4.24,0.96,11.53,-13.31
RJ,2055690.45,12350,166.45,3.97,0.88,14.85,-11.76
RN,100728.3,474,212.51,4.15,0.91,18.82,-13.65
RO,56975.7,243,234.47,4.17,0.97,18.91,-20.1
RR,9039.52,41,220.48,3.9,0.88,28.98,-17.29
RS,861802.4,5345,161.24,4.18,0.94,14.82,-13.91
SC,595208.4,3546,167.85,4.13,0.92,14.48,-11.5
SE,70289.13,335,209.82,3.91,0.85,21.03,-10.02
SP,5770266.19,40501,142.48,4.25,0.95,8.3,-11.08
TO,60007.37,274,219.0,4.15,0.9,17.23,-12.13
